DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-06 10:55:17,500,5,0,7506.8,704.756,2.5,2536864,6342160,0,0,989.6,19559.8
2025-01-06 10:55:19,500,6,0,10654.5,624.144,3,2536864,7610592,0,0,1118.667,14574.667
2025-01-06 10:55:22,500,9,0,12269.222,1097.595,4.5,2536864,11415888,0,0,1066.778,8567.444
2025-01-06 10:55:24,500,1,0,16035,0,0.5,2536864,1268432,0,0,636,45901
2025-01-06 10:55:27,500,4,0,16950,389.495,2,2536864,5073728,0,0,814.75,15645.5
2025-01-06 10:55:30,500,3,0,17750.333,24.088,1.5,2536864,3805296,0,0,1122.667,1122.667
2025-01-06 10:55:32,500,3,0,22291.333,570.781,1.5,2536864,3805296,0,0,764.667,45960
2025-01-06 10:55:35,500,4,0,25320,550.445,2,2536864,5073728,0,0,981,23457.25
2025-01-06 10:55:38,500,6,0,27508,906.42,3,2536864,7610592,0,0,1088.333,9763.667
2025-01-06 10:55:41,500,1,0,32006,0,0.5,2536864,1268432,0,0,1259,111538
2025-01-06 10:55:48,500,5,17,33416.6,575.988,2.5,2536864,6342160,0,0,1200.2,33440.4
